object_name,data_received_on,description,device_id,ismanual,object_id,object_type,present_value,units
VOX_FCU'Flr_01'RS_FCU_FY_25'ROpUnDev(1)'FanOpIn,2025-11-07T11:16:03.370 UTC,Fan operation input value,2,False,86,binaryValue,inactive,n/a
VOX'OS04'Ahu'Ahu7'SpHuSpcCt,2025-11-07T11:13:54.453 UTC,Space Air Humidity Cut Off Setpoint,2122756,False,33,analogValue,5,percentRelativeHumidity
VOX'OS01'Ahu'Ahu2'HuR,2025-11-07T11:06:56.469 UTC,Return Air Humidity,2122753,False,81,analogInput,54.119998931884766,percentRelativeHumidity
VOX_FCU'Flr_01'RS_FCU_FY_25'HVAC'Fan'FanSpdMaxH,2025-11-07T11:16:03.370 UTC,Maximum fan speed for heating,2,False,84,analogValue,95,percent
VOX'OS01'Ahu'FAHU2'CmdOnEf,2025-11-07T11:06:56.469 UTC,FAHU Exhaust Fan Start/Stop Command,2122753,False,8,binaryOutput,active,n/a
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'CclVlvPos,2025-11-07T11:11:55.586 UTC,Cooling coil valve position,233,False,4,analogOutput,n/a,percent
VOX'OS05'Ahu'Ahu10'TBHuRt,2025-11-07T11:09:52.707 UTC,Trend Return Air Humidity,2122757,False,5,trendLog,n/a,n/a
VOX'OS04'Ahu'FAHU'TBStaFlw,2025-11-07T11:13:54.453 UTC,Trend Supply Fan Airflow Status,2122756,False,51,trendLog,n/a,n/a
VOX'OS04'Ahu'Ahu13'SpHuR,2025-11-07T11:13:54.453 UTC,Space Air Humidity Setpoint,2122756,False,6,analogValue,80,percent
VOX'OS04'Ahu'Ahu8'TBTe,2025-11-07T11:13:54.453 UTC,Trend Space Air Temperature,2122756,False,44,trendLog,n/a,n/a
VOX'OS05'Ahu'Ahu10'Co2RA,2025-11-07T11:09:52.707 UTC,Space Air Co2,2122757,False,3,analogInput,610,partsPerMillion
VOX_FCU'Flr_01'RS_FCU_FYR_MAIN SERVER ROOM_9B'ROpUnDev(1)'REeiRstIn,2025-11-07T11:11:55.586 UTC,Reset of room energy effic.indic.input,233,False,89,binaryValue,inactive,n/a
VOX'OS05'Ahu'Ahu9'AlmNtAuto,2025-11-07T11:09:52.707 UTC,Supply Fan Not in Auto Alarm,2122757,False,21,binaryValue,inactive,n/a
VOX'OS01'Ahu'Ahu2'TBTRt,2025-11-07T11:06:56.469 UTC,Trend Return Air Temperature,2122753,False,31,trendLog,n/a,n/a
VOX'OS04'ELEMU'TKwh,2025-11-07T11:13:54.453 UTC,Kilowatt Hour,2122756,False,81,analogInput,n/a,kilowattHours
IOBus'IOBusMgmt,2025-11-07T11:16:03.370 UTC,I/O bus management,2,False,1,multiStateValue,1,n/a
VOX'OS01'Ahu'FAHU2'OffHum2,2025-11-07T11:06:56.469 UTC,FAHU Before Enthalpy Wheel On Coil Humidity,2122753,False,60,analogInput,45.279998779296875,percentRelativeHumidity
VOX'OS05'Ahu'Ahu11'TBCMDVFD,2025-11-07T11:09:52.707 UTC,Trend VFD Speed Command,2122757,False,11,trendLog,n/a,n/a
VOX'OS01'Ahu'FAHU2'TSu,2025-11-07T11:06:56.469 UTC,FAHU Supply Air Temperature,2122753,False,76,analogInput,17.19999885559082,degreesCelsius
VOX'OS01'Ahu'Ahu2'CmdVFD,2025-11-07T11:06:56.469 UTC,VFD Enable/Disable Command,2122753,False,3,binaryOutput,active,n/a
VOX_FCU'Flr_01'R_FCU_FYR_SERVER ROOM_9B'ROpModDtr'EefCndTrg,2025-11-07T11:11:55.586 UTC,Energy efficiency condition trigger,233,False,22,multiStateValue,1,n/a
VOX'OS01'MtrEMU'EMU05'00'CurrA,2025-11-07T11:06:56.469 UTC,Current A,2122753,False,167,analogInput,61.1783332824707,amperes
VOX_FCU'Flr_01'R_FCU_FYR_SERVER ROOM_9B'RMnFtr,2025-11-07T11:11:55.586 UTC,Room main feature,233,False,332,structuredView,n/a,n/a
VOX_FCU'Flr_01'R_FCU_FY_25'RHvacCoo'PltModDtr'FreeCReq,2025-11-07T11:16:03.370 UTC,Free cooling request,2,False,216,binaryValue,inactive,n/a
VOX'OS01'Ahu'FAHU2'TBTSu,2025-11-07T11:06:56.469 UTC,Trend Supply Air Temperature,2122753,False,63,trendLog,n/a,n/a
VOX'OS01'Ahu'AhuMkp2'SpFAD,2025-11-07T11:06:56.469 UTC,FA. Damper Open Setpoint for Normal,2122753,False,61,analogValue,100,percent
VOX'OS01'ExFans'KitExFan'VFDMin,2025-11-07T11:06:56.469 UTC,VFD Min. Speed SetPoint,2122753,False,74,analogValue,80,noUnits
10224847 Volume ,2025-11-07T11:13:58.582 UTC,10224847 Volume ,2001,False,3,analogInput,79.03900146484375,cubicMeters
VOX'OS01'Ahu'Ahu3'AlmTrpSf,2025-11-07T11:06:56.469 UTC,Supply Fan VFD Fault Alarm,2122753,False,20,binaryInput,inactive,n/a
VOX_FCU'Flr_01'R_FCU_FY_25'RHvacCoo'FanOp'SpFan3Spd,2025-11-07T11:16:03.370 UTC,Setpoint for three-speed fan,2,False,32,multiStateValue,1,n/a
VOXZAHIA'AS03'PX_S7,2025-11-07T11:07:24.654 UTC,"Siemens\\AE\\Dubai\\VOXALZAHIA\\AS03",2122755,False,2097162,file,n/a,n/a
VOX'OS05'RmTAvg'SpaceT15'Co2,2025-11-07T11:09:52.707 UTC,Space Co2-1,2122757,False,57,analogInput,342.8000183105469,partsPerMillion
VOX'OS02'Ahu'Ahu16'SpCo2Band,2025-11-07T11:19:20.965 UTC,Space  Air Co2 Setpoint Band,2122754,False,28,analogValue,100,partsPerMillion
VOX'OS02'Ahu'Ahu16'SpMaxVFD,2025-11-07T11:19:20.965 UTC,VFD Max. Speed Setpoint,2122754,False,34,analogValue,100,percent
VOX_FCU'Flr_01'R_FCU_FYR_SERVER ROOM_9B'RHvacCoo'FanOp'SpFan1Spd,2025-11-07T11:11:55.586 UTC,Setpoint for single-speed fan,233,False,2,binaryValue,inactive,n/a
VOX'OS04'Ahu'Ahu8'TSOcc,2025-11-07T11:13:54.453 UTC,Time Scheduler - Occupancy,2122756,False,7,schedule,1,n/a
VOX'OS01'Ahu'FAHU2'TBHuRt,2025-11-07T11:06:56.469 UTC,Trend Return Air Humidity,2122753,False,59,trendLog,n/a,n/a
VOX'OS01'MtrEMU'EMU03'00'VoltBC,2025-11-07T11:06:56.469 UTC,Voltage B-C,2122753,False,146,analogInput,409.35333251953125,volts
